Name1,Name2,Name1_res,Draw,Name2_res,Names_x,Intelligence_x,Strength_x,Speed_x,Durability_x,Power_x,Combat_x,Names_y,Intelligence_y,Strength_y,Speed_y,Durability_y,Power_y,Combat_y
Captain Marvel,Ares,16.7,33.3,50.0,Captain Marvel,61.88,70.0,70.0,59.38,84.38,80.0,Ares,80.0,90.0,75.0,95.0,80.0,100.0
Deathstroke,Agent Zero,100.0,0.0,0.0,Deathstroke,73.46,20.69,27.08,21.15,38.08,96.54,Agent Zero,65.0,5.0,17.0,10.0,15.0,85.0
Superboy,Doomsday,0.0,0.0,100.0,Superboy,68.33,80.0,71.67,60.83,77.5,51.67,Doomsday,41.67,100.0,75.83,85.0,91.67,49.17
Wonder Woman,Sif,82.1,0.0,17.9,Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75,Sif,72.5,37.5,40.0,55.0,60.0,90.0
Mister Mxyzptlk,Big Barda,100.0,0.0,0.0,Mister Mxyzptlk,95.0,100.0,100.0,100.0,100.0,50.0,Big Barda,72.5,87.5,65.0,75.0,67.5,100.0
Black Bolt,Hulk,39.2,3.9,56.9,Black Bolt,65.0,57.5,47.5,57.5,82.5,82.5,Hulk,65.83,91.39,62.83,78.89,85.56,68.06
Scarlet Witch,Raven,58.8,0.0,41.2,Scarlet Witch,82.14,61.57,85.0,81.43,97.14,66.43,Raven,76.25,41.5,64.38,63.75,90.0,56.88
Scarlet Witch,Iron Man,92.6,0.0,7.4,Scarlet Witch,82.14,61.57,85.0,81.43,97.14,66.43,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Black Widow,Black Widow,97.1,0.0,2.9,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44
Black Widow,Rogue,0.0,0.0,100.0,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Rogue,64.29,58.0,36.57,50.71,80.71,64.29
Venom,Killer Croc,87.5,0.0,12.5,Venom,62.14,30.0,21.43,25.71,52.14,75.0,Killer Croc,47.0,28.0,15.4,15.8,28.0,39.0
Scarecrow,Iron Man,0.0,0.0,100.0,Scarecrow,83.33,9.0,16.33,12.0,20.0,31.33,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54
Rhino,Hawkman,0.0,0.0,100.0,Rhino,40.0,30.0,22.33,26.67,30.0,25.0,Hawkman,70.0,46.43,32.29,37.86,52.14,60.0
Captain Marvel,Mandarin,100.0,0.0,0.0,Captain Marvel,72.5,77.5,90.0,37.5,72.5,35.0,Mandarin,67.5,34.0,25.25,31.5,44.0,61.25
Captain Marvel,Mandarin,100.0,0.0,0.0,Captain Marvel,61.88,70.0,70.0,59.38,84.38,80.0,Mandarin,67.5,34.0,25.25,31.5,44.0,61.25
Invisible Woman,Deadpool,25.0,0.0,75.0,Invisible Woman,77.5,25.5,19.5,50.0,67.5,47.5,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75
Invisible Woman,Captain Marvel,22.2,0.0,77.8,Invisible Woman,77.5,25.5,19.5,50.0,67.5,47.5,Captain Marvel,72.5,77.5,90.0,37.5,72.5,35.0
Invisible Woman,Captain Marvel,22.2,0.0,77.8,Invisible Woman,77.5,25.5,19.5,50.0,67.5,47.5,Captain Marvel,61.88,70.0,70.0,59.38,84.38,80.0
Rogue,Superman,43.4,1.2,55.4,Rogue,64.29,58.0,36.57,50.71,80.71,64.29,Superman,80.13,93.59,88.62,77.69,83.72,70.9
Ares,Hercules,11.4,2.9,85.7,Ares,94.17,97.5,83.33,83.33,90.83,100.0,Hercules,70.0,100.0,75.0,100.0,100.0,85.0
Ares,Hercules,11.4,2.9,85.7,Ares,94.17,97.5,83.33,83.33,90.83,100.0,Hercules,65.0,100.0,80.0,100.0,100.0,100.0
Ares,Hercules,11.4,2.9,85.7,Ares,80.0,90.0,75.0,95.0,80.0,100.0,Hercules,70.0,100.0,75.0,100.0,100.0,85.0
Ares,Hercules,11.4,2.9,85.7,Ares,80.0,90.0,75.0,95.0,80.0,100.0,Hercules,65.0,100.0,80.0,100.0,100.0,100.0
Captain America,Green Goblin,57.6,3.0,39.4,Captain America,73.12,36.31,37.56,34.75,49.38,93.12,Green Goblin,80.0,25.0,22.5,25.0,30.0,57.5
Deadpool,Angel,100.0,0.0,0.0,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Angel,57.5,15.0,25.0,13.5,40.0,50.0
Hulk,Watcher,15.4,0.0,84.6,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Watcher,100.0,100.0,100.0,100.0,100.0,50.0
US Agent,Agent Venom,25.0,0.0,75.0,US Agent,70.0,35.0,27.5,27.5,35.0,85.0,Agent Venom,70.0,25.0,30.0,30.0,65.0,100.0
Hulk,Aquaman,79.4,0.9,19.6,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Aquaman,64.09,68.64,48.82,46.55,60.0,72.73
Metallo,Deadman,0.0,0.0,100.0,Metallo,40.0,30.0,6.0,55.0,50.0,20.0,Deadman,65.0,10.33,46.67,66.67,53.33,45.0
Iron Man,Kang,0.0,0.0,100.0,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54,Kang,90.0,50.5,53.5,55.0,80.0,80.0
Elektra,Black Widow,67.4,2.1,30.5,Elektra,68.33,3.33,12.67,10.0,20.0,91.67,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44
Deadpool,War Machine,75.0,0.0,25.0,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,War Machine,59.0,60.0,52.0,52.0,58.0,67.0
Arsenal,Merlyn,100.0,0.0,0.0,Arsenal,85.0,1.0,10.0,8.0,17.0,85.0,Merlyn,70.0,1.0,6.0,10.0,15.0,80.0
Bane,Deadpool,11.1,0.0,88.9,Bane,67.78,26.78,21.33,13.22,22.78,70.0,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75
Black Widow,Winter Soldier,9.4,0.0,90.6,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Winter Soldier,63.33,25.0,20.67,15.0,20.0,80.0
Doomsday,Ares,100.0,0.0,0.0,Doomsday,41.67,100.0,75.83,85.0,91.67,49.17,Ares,94.17,97.5,83.33,83.33,90.83,100.0
Doomsday,Ares,100.0,0.0,0.0,Doomsday,41.67,100.0,75.83,85.0,91.67,49.17,Ares,80.0,90.0,75.0,95.0,80.0,100.0
Wolverine,Mystique,66.7,0.0,33.3,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5,Mystique,65.0,7.5,13.0,12.5,55.0,75.0
Reverse Flash,Batman,81.6,0.0,18.4,Reverse Flash,93.33,31.67,100.0,56.67,90.0,81.67,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Quicksilver,Reverse Flash,14.3,0.0,85.7,Quicksilver,67.0,40.0,73.0,35.4,63.0,53.0,Reverse Flash,93.33,31.67,100.0,56.67,90.0,81.67
Reverse Flash,Spider-Man,100.0,0.0,0.0,Reverse Flash,93.33,31.67,100.0,56.67,90.0,81.67,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26
Iron Man,Cyborg Superman,10.0,0.0,90.0,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54,Cyborg Superman,85.0,100.0,92.5,87.5,82.5,65.0
Iron Man,Cyborg,62.1,0.5,37.4,Iron Man,88.08,78.85,65.58,71.27,80.58,71.54,Cyborg,73.89,55.0,47.89,41.11,58.89,42.78
Red Hood,Cyborg,0.0,0.0,100.0,Red Hood,77.14,8.71,16.29,12.86,18.57,91.43,Cyborg,73.89,55.0,47.89,41.11,58.89,42.78
Black Bolt,Captain America,100.0,0.0,0.0,Black Bolt,65.0,57.5,47.5,57.5,82.5,82.5,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Captain America,Cable,0.0,0.0,100.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12,Cable,73.33,19.67,33.67,40.0,51.67,86.67
Vision,Cable,33.3,0.0,66.7,Vision,89.17,67.5,53.33,58.33,74.17,69.17,Cable,73.33,19.67,33.67,40.0,51.67,86.67
Anti-Vision,Cable,0.0,0.0,100.0,Anti-Vision,95.0,100.0,100.0,100.0,100.0,90.0,Cable,73.33,19.67,33.67,40.0,51.67,86.67
Black Widow,Thor,31.6,0.0,68.4,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Thor,60.0,100.0,100.0,100.0,100.0,80.0
Black Widow,Thor,31.6,0.0,68.4,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Thor,69.5,95.5,79.75,79.0,90.0,83.25
Penguin,Luke Cage,0.0,0.0,100.0,Penguin,73.75,1.0,5.0,9.5,11.25,35.0,Luke Cage,65.0,30.0,18.0,32.5,27.5,65.0
Batman,Darkseid,16.2,0.0,83.8,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Darkseid,98.1,99.76,92.38,91.43,95.48,97.14
Green Lantern,Orion,0.0,0.0,100.0,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37,Orion,94.0,95.0,94.0,97.0,94.0,89.0
Jessica Jones,Purple Man,33.3,0.0,66.7,Jessica Jones,62.5,25.0,19.0,17.5,30.0,57.5,Purple Man,60.0,1.0,5.0,10.0,30.0,35.0
Thor Girl,She-Hulk,100.0,0.0,0.0,Thor Girl,60.0,100.0,80.0,85.0,100.0,90.0,She-Hulk,65.0,76.67,56.67,75.0,71.67,71.67
Namor,Magneto,25.0,0.0,75.0,Namor,68.33,98.33,58.33,81.67,80.0,73.33,Magneto,80.0,82.5,47.5,65.0,85.0,60.0
Kang,Magneto,100.0,0.0,0.0,Kang,90.0,50.5,53.5,55.0,80.0,80.0,Magneto,80.0,82.5,47.5,65.0,85.0,60.0
Black Adam,Magneto,88.9,0.0,11.1,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Magneto,80.0,82.5,47.5,65.0,85.0,60.0
Namor,Wolverine,85.7,0.0,14.3,Namor,68.33,98.33,58.33,81.67,80.0,73.33,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Blink,Dazzler,100.0,0.0,0.0,Blink,60.0,1.0,8.5,7.5,22.5,45.0,Dazzler,75.0,1.0,20.0,20.0,75.0,60.0
Red Hood,Black Panther,14.3,0.0,85.7,Red Hood,77.14,8.71,16.29,12.86,18.57,91.43,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78
Red Tornado,Green Arrow,100.0,0.0,0.0,Red Tornado,80.0,55.0,56.67,51.67,76.67,40.0,Green Arrow,67.5,4.5,14.17,10.67,12.83,73.33
Red Tornado,Vision,48.6,1.9,49.5,Red Tornado,80.0,55.0,56.67,51.67,76.67,40.0,Vision,89.17,67.5,53.33,58.33,74.17,69.17
Doomsday,Power Girl,92.9,0.0,7.1,Doomsday,41.67,100.0,75.83,85.0,91.67,49.17,Power Girl,77.5,86.25,71.25,80.0,86.25,57.5
Brainiac,Black Bolt,0.0,0.0,100.0,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38,Black Bolt,65.0,57.5,47.5,57.5,82.5,82.5
Cyborg Superman,Sinestro,100.0,0.0,0.0,Cyborg Superman,85.0,100.0,92.5,87.5,82.5,65.0,Sinestro,75.0,83.33,91.67,90.0,88.33,56.67
Superman,Blade,100.0,0.0,0.0,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Blade,62.5,22.5,25.0,22.5,35.0,87.5
Harley Quinn,Venom,0.0,0.0,100.0,Harley Quinn,66.36,6.64,14.91,11.36,15.64,70.91,Venom,62.14,30.0,21.43,25.71,52.14,75.0
Ghost Rider,Red Tornado,100.0,0.0,0.0,Ghost Rider,70.62,83.12,71.88,78.75,88.75,73.75,Red Tornado,80.0,55.0,56.67,51.67,76.67,40.0
Batman,Darkhawk,36.0,0.0,64.0,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Darkhawk,60.0,75.0,75.0,30.0,50.0,70.0
Orion,Big Barda,75.0,0.0,25.0,Orion,94.0,95.0,94.0,97.0,94.0,89.0,Big Barda,72.5,87.5,65.0,75.0,67.5,100.0
Drax the Destroyer,Solomon Grundy,80.0,0.0,20.0,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0,Solomon Grundy,35.0,35.0,13.33,51.67,53.33,30.0
Black Bolt,Warlock,0.0,40.0,60.0,Black Bolt,65.0,57.5,47.5,57.5,82.5,82.5,Warlock,98.33,91.67,100.0,100.0,100.0,83.33
Agent Venom,Agent 13,100.0,0.0,0.0,Agent Venom,70.0,25.0,30.0,30.0,65.0,100.0,Agent 13,70.0,1.0,8.0,15.0,15.0,95.0
Captain Marvel,Thor Girl,100.0,0.0,0.0,Captain Marvel,72.5,77.5,90.0,37.5,72.5,35.0,Thor Girl,60.0,100.0,80.0,85.0,100.0,90.0
Captain Marvel,Thor Girl,100.0,0.0,0.0,Captain Marvel,61.88,70.0,70.0,59.38,84.38,80.0,Thor Girl,60.0,100.0,80.0,85.0,100.0,90.0
Galactus,Watcher,78.9,0.0,21.1,Galactus,98.33,100.0,98.33,96.67,97.0,76.0,Watcher,100.0,100.0,100.0,100.0,100.0,50.0
Green Lantern,Agent Coulson,100.0,0.0,0.0,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37,Agent Coulson,62.5,1.0,3.5,5.0,5.5,35.0
Martian Manhunter,Ant-Man,100.0,0.0,0.0,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0,Ant-Man,78.33,28.67,19.33,20.0,31.67,56.67
Archangel,Cyborg,100.0,0.0,0.0,Archangel,60.0,12.33,26.67,20.0,55.0,50.0,Cyborg,73.89,55.0,47.89,41.11,58.89,42.78
Red Hood,Captain America,18.4,0.0,81.6,Red Hood,77.14,8.71,16.29,12.86,18.57,91.43,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Black Adam,Wolverine,100.0,0.0,0.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Black Adam,Wizard,100.0,0.0,0.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Wizard,85.0,8.0,25.0,14.0,20.0,20.0
Black Adam,Green Lantern,85.7,2.0,12.2,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37
Captain America,Nova,0.0,0.0,100.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12,Nova,77.0,85.0,100.0,89.0,89.0,74.0
Venom,Sif,50.0,0.0,50.0,Venom,62.14,30.0,21.43,25.71,52.14,75.0,Sif,72.5,37.5,40.0,55.0,60.0,90.0
Deadpool,Brainiac,22.2,0.0,77.8,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Brainiac,96.25,96.25,80.88,68.75,85.62,59.38
Cyclops,Wolverine,23.1,0.0,76.9,Cyclops,67.5,35.0,34.75,40.0,67.5,67.5,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Thanos,Beyonder,3.8,0.0,96.2,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Beyonder,100.0,100.0,100.0,98.0,100.0,90.0
Spider-Man,Darkseid,15.0,0.0,85.0,Spider-Man,76.96,43.91,34.26,34.04,51.96,68.26,Darkseid,98.1,99.76,92.38,91.43,95.48,97.14
Black Adam,Hercules,75.0,0.0,25.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Hercules,70.0,100.0,75.0,100.0,100.0,85.0
Black Adam,Hercules,75.0,0.0,25.0,Black Adam,85.0,91.0,96.0,80.0,88.0,90.0,Hercules,65.0,100.0,80.0,100.0,100.0,100.0
Onslaught,Hercules,100.0,0.0,0.0,Onslaught,95.0,100.0,100.0,100.0,100.0,80.0,Hercules,70.0,100.0,75.0,100.0,100.0,85.0
Onslaught,Hercules,100.0,0.0,0.0,Onslaught,95.0,100.0,100.0,100.0,100.0,80.0,Hercules,65.0,100.0,80.0,100.0,100.0,100.0
Doomsday,Phoenix,6.7,0.0,93.3,Doomsday,41.67,100.0,75.83,85.0,91.67,49.17,Phoenix,84.5,100.0,100.0,100.0,99.0,76.0
Killer Croc,Stargirl,0.0,0.0,100.0,Killer Croc,47.0,28.0,15.4,15.8,28.0,39.0,Stargirl,62.5,27.5,65.0,30.0,60.0,67.5
Ant-Man,Black Panther,33.3,0.0,66.7,Ant-Man,78.33,28.67,19.33,20.0,31.67,56.67,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78
Blade,Black Panther,32.1,0.0,67.9,Blade,62.5,22.5,25.0,22.5,35.0,87.5,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78
Venom,Galactus,18.2,0.0,81.8,Venom,62.14,30.0,21.43,25.71,52.14,75.0,Galactus,98.33,100.0,98.33,96.67,97.0,76.0
Batman,Hawkman,18.2,0.0,81.8,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Hawkman,70.0,46.43,32.29,37.86,52.14,60.0
Carnage,Thanos,25.0,0.0,75.0,Carnage,65.71,42.29,34.86,33.57,60.0,73.57,Thanos,94.64,96.43,77.86,86.07,93.93,96.07
Blue Beetle,A-Bomb,100.0,0.0,0.0,Blue Beetle,68.75,32.5,50.0,43.75,62.5,46.25,A-Bomb,55.0,95.0,65.0,65.0,55.0,65.0
Blue Beetle,Nova,0.0,0.0,100.0,Blue Beetle,68.75,32.5,50.0,43.75,62.5,46.25,Nova,77.0,85.0,100.0,89.0,89.0,74.0
Psylocke,Gambit,100.0,0.0,0.0,Psylocke,62.5,15.0,18.0,20.0,57.5,85.0,Gambit,65.0,5.0,25.0,15.0,60.0,75.0
Beast,Blue Beetle II,100.0,0.0,0.0,Beast,87.5,19.0,18.0,20.0,42.5,55.0,Blue Beetle II,95.0,6.0,14.0,15.0,20.0,70.0
Beast,Bronze Tiger,100.0,0.0,0.0,Beast,87.5,19.0,18.0,20.0,42.5,55.0,Bronze Tiger,65.0,10.0,10.0,12.0,15.0,100.0
Drax the Destroyer,Destroyer,0.0,0.0,100.0,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0,Destroyer,68.33,78.33,73.33,78.33,86.67,90.0
Catman,Wolverine,0.0,0.0,100.0,Catman,70.0,13.0,20.0,15.0,25.0,90.0,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Black Widow,Green Goblin,66.7,0.0,33.3,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Green Goblin,80.0,25.0,22.5,25.0,30.0,57.5
Jessica Jones,Cyclops,100.0,0.0,0.0,Jessica Jones,62.5,25.0,19.0,17.5,30.0,57.5,Cyclops,67.5,35.0,34.75,40.0,67.5,67.5
Batman,Iron Monger,61.5,0.0,38.5,Batman,82.33,17.62,21.84,18.4,24.6,92.56,Iron Monger,71.67,41.67,26.67,40.0,41.67,25.0
Green Lantern,Hulk,49.5,1.0,49.5,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37,Hulk,65.83,91.39,62.83,78.89,85.56,68.06
Groot,Green Lantern,50.0,0.0,50.0,Groot,55.0,50.0,18.0,45.0,55.0,60.0,Green Lantern,71.58,85.13,87.76,76.58,86.18,62.37
Squirrel Girl,Batman,44.4,5.6,50.0,Squirrel Girl,32.5,25.0,25.0,15.0,40.0,40.0,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Ultron,Magus,100.0,0.0,0.0,Ultron,95.0,77.5,71.25,80.0,77.5,80.0,Magus,92.5,100.0,100.0,100.0,92.5,90.0
Air-Walker,Bizarro,0.0,0.0,100.0,Air-Walker,50.0,100.0,100.0,100.0,90.0,80.0,Bizarro,35.0,100.0,75.0,83.33,75.0,33.33
Invisible Woman,Vision,33.3,0.0,66.7,Invisible Woman,77.5,25.5,19.5,50.0,67.5,47.5,Vision,89.17,67.5,53.33,58.33,74.17,69.17
Catwoman,Captain Britain,0.0,0.0,100.0,Catwoman,58.75,4.12,10.62,9.56,14.19,59.69,Captain Britain,72.5,20.0,25.0,21.5,30.0,47.5
Superman,Harley Quinn,82.8,0.0,17.2,Superman,80.13,93.59,88.62,77.69,83.72,70.9,Harley Quinn,66.36,6.64,14.91,11.36,15.64,70.91
Daredevil,Supergirl,7.1,0.0,92.9,Daredevil,80.0,26.5,34.25,31.0,41.75,93.75,Supergirl,66.0,97.5,93.5,74.5,83.5,57.0
Daredevil,Venom,15.4,0.0,84.6,Daredevil,80.0,26.5,34.25,31.0,41.75,93.75,Venom,62.14,30.0,21.43,25.71,52.14,75.0
Catwoman,Venom,0.0,0.0,100.0,Catwoman,58.75,4.12,10.62,9.56,14.19,59.69,Venom,62.14,30.0,21.43,25.71,52.14,75.0
Black Widow,Wolverine,0.0,0.0,100.0,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Hulk,Alfred Pennyworth,70.8,0.0,29.2,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Alfred Pennyworth,67.5,8.0,4.75,7.75,6.0,31.0
Punisher,Ghost Rider,19.0,0.0,81.0,Punisher,62.5,8.0,14.5,12.5,16.0,77.5,Ghost Rider,70.62,83.12,71.88,78.75,88.75,73.75
She-Hulk,Ghost Rider,30.0,0.0,70.0,She-Hulk,65.0,76.67,56.67,75.0,71.67,71.67,Ghost Rider,70.62,83.12,71.88,78.75,88.75,73.75
Nick Fury,Daredevil,11.1,0.0,88.9,Nick Fury,80.0,3.5,25.5,10.5,7.5,65.0,Daredevil,80.0,26.5,34.25,31.0,41.75,93.75
Raven,Binary,100.0,0.0,0.0,Raven,76.25,41.5,64.38,63.75,90.0,56.88,Binary,70.0,100.0,100.0,100.0,100.0,80.0
Raven,Big Barda,100.0,0.0,0.0,Raven,76.25,41.5,64.38,63.75,90.0,56.88,Big Barda,72.5,87.5,65.0,75.0,67.5,100.0
Thanos,Kang,100.0,0.0,0.0,Thanos,94.64,96.43,77.86,86.07,93.93,96.07,Kang,90.0,50.5,53.5,55.0,80.0,80.0
Thor,Kang,80.0,0.0,20.0,Thor,60.0,100.0,100.0,100.0,100.0,80.0,Kang,90.0,50.5,53.5,55.0,80.0,80.0
Thor,Kang,80.0,0.0,20.0,Thor,69.5,95.5,79.75,79.0,90.0,83.25,Kang,90.0,50.5,53.5,55.0,80.0,80.0
Black Panther,Wolverine,33.6,0.5,65.9,Black Panther,88.33,50.0,49.44,50.22,51.67,97.78,Wolverine,65.0,17.33,18.83,56.67,52.5,82.5
Abomination,Captain America,83.3,0.0,16.7,Abomination,72.5,95.0,62.5,72.5,70.0,72.5,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
She-Hulk,Ymir,0.0,0.0,100.0,She-Hulk,65.0,76.67,56.67,75.0,71.67,71.67,Ymir,60.0,100.0,90.0,100.0,100.0,85.0
Moon Knight,Captain America,22.2,7.4,70.4,Moon Knight,68.33,50.0,50.0,45.0,58.33,88.33,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Captain America,Drax the Destroyer,22.0,0.0,78.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0
Groot,Drax the Destroyer,87.2,0.0,12.8,Groot,55.0,50.0,18.0,45.0,55.0,60.0,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0
Rocket Raccoon,Drax the Destroyer,20.0,0.0,80.0,Rocket Raccoon,80.0,1.0,15.0,21.0,20.0,62.5,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0
Black Widow,Drax the Destroyer,0.0,0.0,100.0,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0
Colossus,Drax the Destroyer,60.0,20.0,20.0,Colossus,55.0,75.0,25.0,60.0,60.0,60.0,Drax the Destroyer,45.0,95.0,80.0,85.0,70.0,85.0
Shazam,Warlock,33.3,0.0,66.7,Shazam,70.0,92.5,77.5,70.0,80.0,48.75,Warlock,98.33,91.67,100.0,100.0,100.0,83.33
Shazam,Valkyrie,100.0,0.0,0.0,Shazam,70.0,92.5,77.5,70.0,80.0,48.75,Valkyrie,69.0,66.0,75.0,71.0,75.0,85.0
Juggernaut,Shazam,4.5,0.0,95.5,Juggernaut,60.0,85.0,77.0,85.0,91.0,66.0,Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Lex Luthor,Shazam,0.0,0.0,100.0,Lex Luthor,90.0,51.64,53.45,45.27,42.36,43.73,Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Loki,Shazam,50.0,0.0,50.0,Loki,88.12,71.88,71.25,71.88,87.5,82.5,Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Martian Manhunter,Shazam,74.6,2.5,23.0,Martian Manhunter,73.5,90.0,65.5,52.5,78.5,63.0,Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Doctor Fate,Shazam,81.8,0.0,18.2,Doctor Fate,87.5,95.62,98.12,93.75,100.0,70.62,Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Black Canary,Captain America,100.0,0.0,0.0,Black Canary,65.0,4.0,11.12,11.62,33.12,80.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Black Canary,Captain America,60.0,0.0,40.0,Black Canary,65.0,4.0,11.12,11.62,33.12,80.0,Captain America,73.12,36.31,37.56,34.75,49.38,93.12
Beast Boy,Batman,60.0,0.0,40.0,Beast Boy,59.29,20.86,22.43,17.14,42.86,35.0,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Captain Atom,Batman,86.2,0.0,13.8,Captain Atom,83.33,100.0,96.67,100.0,100.0,81.67,Batman,82.33,17.62,21.84,18.4,24.6,92.56
Beast Boy,Robin,75.0,0.0,25.0,Beast Boy,59.29,20.86,22.43,17.14,42.86,35.0,Robin,73.57,8.5,12.71,10.21,12.86,83.21
Deadpool,Robin,100.0,0.0,0.0,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Robin,73.57,8.5,12.71,10.21,12.86,83.21
Captain Marvel,Hyperion,36.4,0.0,63.6,Captain Marvel,72.5,77.5,90.0,37.5,72.5,35.0,Hyperion,83.75,100.0,91.25,88.75,87.5,81.25
Captain Marvel,Hyperion,36.4,0.0,63.6,Captain Marvel,61.88,70.0,70.0,59.38,84.38,80.0,Hyperion,83.75,100.0,91.25,88.75,87.5,81.25
Hulk,Hawkeye,86.4,0.0,13.6,Hulk,65.83,91.39,62.83,78.89,85.56,68.06,Hawkeye,64.0,2.6,10.6,10.4,17.6,82.0
Deadpool,Swamp Thing,20.0,0.0,80.0,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Swamp Thing,86.67,88.33,72.5,77.5,88.33,53.33
Deadpool,Frankenstein,33.3,0.0,66.7,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Frankenstein,55.0,50.0,100.0,75.0,40.0,70.0
Deadpool,Atrocitus,62.5,0.0,37.5,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Atrocitus,90.0,100.0,100.0,100.0,100.0,70.0
Deadpool,General Zod,66.7,0.0,33.3,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,General Zod,69.17,95.83,90.83,67.5,72.5,82.5
Deadpool,Black Widow,88.9,0.0,11.1,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Black Widow,77.22,8.33,18.11,24.89,37.44,94.44
Deadpool,Cable,29.7,0.0,70.3,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Cable,73.33,19.67,33.67,40.0,51.67,86.67
Deadpool,Hawkeye,60.0,0.0,40.0,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Hawkeye,64.0,2.6,10.6,10.4,17.6,82.0
Deadpool,Apocalypse,18.2,0.0,81.8,Deadpool,68.75,42.25,35.5,51.25,57.5,93.75,Apocalypse,88.12,81.88,32.38,65.0,91.25,58.75
