Names,Intelligence,Strength,Speed,Durability,Power,Combat
Max Faraday,100.0,100.0,100.0,100.0,100.0,100.0
Max Lord,65.0,1.0,6.0,7.0,65.0,1.0
Maxima,80.0,100.0,85.0,75.0,80.0,60.0
Maxwell Lord,77.5,1.0,9.0,7.0,40.0,47.5
Maze,60.0,5.0,8.0,15.0,50.0,85.0
Medusa,70.0,50.0,27.5,30.0,57.5,52.5
Mega Casey,60.0,75.0,100.0,60.0,85.0,55.0
Meleos,100.0,100.0,100.0,100.0,100.0,100.0
Mento,85.0,5.0,11.0,10.0,15.0,60.0
Mera,72.5,30.0,32.5,40.0,65.0,80.0
Merciless,90.0,100.0,100.0,100.0,100.0,100.0
Mercury,55.0,25.0,5.0,30.0,55.0,30.0
Mercury Flash,80.0,25.0,100.0,45.0,75.0,70.0
Merlin,100.0,100.0,95.0,95.0,100.0,35.0
Merlyn,70.0,1.0,6.0,10.0,15.0,80.0
Metallo,40.0,30.0,6.0,55.0,50.0,20.0
Metamorpho,85.0,75.0,100.0,100.0,85.0,70.0
Metatron,100.0,100.0,100.0,100.0,100.0,100.0
Metron,100.0,65.0,92.5,92.5,90.0,22.5
Michael Demiurgos,100.0,62.5,100.0,65.0,80.0,95.0
Midnighter,95.0,15.0,25.0,15.0,25.0,100.0
Miki,65.0,25.0,30.0,80.0,85.0,30.0
Milkman Man,100.0,100.0,100.0,100.0,100.0,100.0
Mirror Master,65.0,5.0,11.0,15.0,20.0,70.0
Miss Martian,61.67,53.33,50.0,53.33,73.33,40.0
Mister Bones,70.0,25.0,6.0,40.0,20.0,50.0
Mister Dark,90.0,75.0,100.0,100.0,100.0,50.0
Mister Freeze,85.0,16.6,14.6,15.4,24.0,28.8
Mister Mind,100.0,13.0,100.0,100.0,87.5,20.0
Mister Miracle,95.0,77.5,77.5,92.5,90.0,90.0
Mister Mxyzptlk,95.0,100.0,100.0,100.0,100.0,50.0
Mister Terrific,90.0,15.0,22.5,12.5,30.0,82.5
Mister Thunderbolt,100.0,100.0,100.0,100.0,100.0,100.0
Mister Zsasz,65.0,1.0,13.5,9.5,7.75,35.0
Mogo,75.0,100.0,100.0,100.0,100.0,10.0
Monarch,85.0,100.0,100.0,100.0,100.0,80.0
Mongal,100.0,100.0,100.0,50.0,50.0,100.0
Mongul,78.33,93.33,85.0,88.33,88.33,86.67
Mongul The Elder,85.0,100.0,55.0,90.0,75.0,75.0
Monitor,100.0,100.0,100.0,100.0,100.0,80.0
Monitor Zillo Valla,90.0,30.0,100.0,55.0,75.0,60.0
Mordru,100.0,100.0,100.0,100.0,100.0,73.33
Morgan Edge,60.0,1.0,5.0,5.0,15.0,25.0
Mother Night,100.0,100.0,100.0,100.0,100.0,100.0
Mr Freeze,85.0,25.0,19.0,14.0,15.0,30.0
Mr. Freeze,80.0,15.0,10.0,20.0,20.0,10.0
Mr. Mxyzptlk,100.0,100.0,100.0,100.0,100.0,70.0
Murder Machine,95.0,100.0,100.0,85.0,100.0,90.0
Mutant Moth,70.0,50.0,50.0,25.0,40.0,35.0
Myrwhydden,70.0,0.0,0.0,0.0,0.0,0.0
Nabu,100.0,100.0,100.0,100.0,100.0,90.0
Nam-Ek,65.0,95.0,25.0,55.0,70.0,65.0
Naomi,70.0,75.0,40.0,35.0,55.0,65.0
Natalya Zamyatin,60.0,1.0,6.0,10.0,0.0,70.0
Negative Flash,77.5,19.0,100.0,57.5,100.0,67.5
Negative Man,65.0,25.0,25.0,30.0,50.0,65.0
Nekron,100.0,100.0,100.0,100.0,100.0,50.0
Neon The Unknown,100.0,100.0,100.0,100.0,100.0,100.0
Neron,100.0,100.0,100.0,100.0,100.0,100.0
Nightmare Nurse,65.0,50.0,100.0,80.0,100.0,65.0
Nightwing,77.5,9.38,17.25,10.62,15.12,93.12
Nite Owl,90.0,10.0,20.0,20.0,25.0,95.0
Nite Owl II,85.0,5.0,14.0,7.0,7.0,70.0
Non,40.0,85.0,70.0,95.0,70.0,50.0
Nubia,90.0,95.0,95.0,100.0,85.0,100.0
Nuidis Vulko,65.0,30.0,25.0,20.0,40.0,90.0
Nyssa Al Ghul,75.0,5.0,7.0,10.0,15.0,90.0
Nzykmulk,95.0,100.0,100.0,100.0,100.0,25.0
Oblivion,97.5,100.0,100.0,100.0,100.0,90.0
Obsidian,70.0,30.0,50.0,80.0,85.0,35.0
Ocean Master,77.5,95.0,40.0,55.0,47.5,100.0
Odin,95.0,100.0,100.0,100.0,100.0,95.0
Odysseus,90.0,25.0,25.0,30.0,50.0,100.0
Omen,65.0,1.0,10.0,10.0,80.0,45.0
Onimar Synn,80.0,75.0,80.0,60.0,70.0,80.0
Ophidian,100.0,100.0,100.0,100.0,100.0,50.0
Oracle,90.0,50.5,50.5,52.5,55.0,55.0
Orange Lantern,75.0,100.0,100.0,100.0,85.0,65.0
Orion,94.0,95.0,94.0,97.0,94.0,89.0
Orphan,70.0,1.0,20.0,10.0,14.0,100.0
OverBat,45.0,30.0,25.0,35.0,70.0,75.0
Overgirl,47.5,87.5,75.0,70.0,30.0,70.0
Overman,50.0,100.0,100.0,100.0,100.0,75.0
Overvoid,100.0,100.0,100.0,100.0,100.0,100.0
Owlman,85.0,13.0,25.0,15.0,20.0,100.0
Ozymandias,95.0,12.5,21.0,11.5,20.0,95.0
Pandora,95.0,100.0,100.0,100.0,100.0,80.0
Papa Midnite,70.0,1.0,6.0,10.0,25.0,30.0
Parademon,47.5,25.0,18.5,12.5,22.5,50.0
Paradoom,35.0,100.0,90.0,95.0,85.0,45.0
Parallax,90.71,100.0,100.0,92.86,98.57,66.43
Parasite,65.0,45.0,20.0,50.0,50.0,25.0
Pariah,80.0,75.0,75.0,55.0,60.0,50.0
Peacemaker,65.0,3.0,9.0,17.5,20.0,90.0
Penguin,73.75,1.0,5.0,9.5,11.25,35.0
Perdissa,100.0,100.0,100.0,100.0,100.0,100.0
Perpetua,100.0,100.0,100.0,100.0,100.0,100.0
Persuader,62.5,40.0,22.5,42.5,40.0,75.0
Pete Ross,70.0,1.0,1.0,5.0,5.0,15.0
Phantom Lady,85.0,1.0,5.0,30.0,60.0,45.0
Phantom Spectre,100.0,100.0,100.0,100.0,100.0,70.0
Phantom Stranger,98.33,100.0,100.0,100.0,100.0,43.33
Phantom Wraith,65.0,50.0,80.0,60.0,70.0,50.0
Philippus,55.0,55.0,37.5,35.0,50.0,80.0
Pied Piper,80.0,1.0,5.0,10.0,40.0,35.0
Plastic Man,70.0,45.0,25.0,60.0,60.0,60.0
Plastique,67.5,3.0,3.0,12.5,25.0,27.5
Platinum,65.0,30.0,5.0,35.0,55.0,35.0
Poison Ivy,69.17,16.33,12.5,19.33,40.83,25.67
Polka-Dot Man,50.0,1.0,6.0,10.0,22.5,22.5
Power Girl,77.5,86.25,71.25,80.0,86.25,57.5
Pralaya,100.0,100.0,100.0,100.0,100.0,100.0
Preacher,60.0,1.0,11.0,10.0,50.0,55.0
Primal Spectre,100.0,100.0,100.0,100.0,100.0,100.0
Professor Ivo,75.0,1.0,1.0,5.0,5.0,10.0
Professor Pyg,80.0,5.0,1.0,10.0,20.0,60.0
Prometheus,90.0,10.0,25.0,12.0,15.0,95.0
Psi,55.0,1.0,25.0,5.0,80.0,20.0
Psimon,75.0,1.0,3.0,5.0,57.5,27.5
Punchline,55.0,1.0,1.0,5.0,5.0,50.0
Queen Atlanna,70.0,30.0,25.0,30.0,50.0,75.0
Queen Hippolyta,85.0,30.0,22.5,30.0,47.5,100.0
Queen Of Blood,70.0,30.0,50.0,30.0,70.0,60.0
Question,70.0,1.0,8.0,10.0,10.0,80.0
Ra's Al Ghul,79.0,18.8,23.8,11.4,22.2,85.0
Radiant,100.0,100.0,100.0,100.0,100.0,50.0
Ragman,70.0,5.0,7.0,35.0,60.0,80.0
Raguel,100.0,100.0,100.0,100.0,100.0,100.0
Rama Khan,75.0,25.0,25.0,25.0,45.0,65.0
Rama Kushna,100.0,100.0,100.0,100.0,100.0,20.0
Rampage,0.0,0.0,0.0,0.0,0.0,0.0
Rao,90.0,100.0,100.0,100.0,100.0,90.0
Raphael,100.0,100.0,100.0,100.0,100.0,100.0
Ras Al Ghul,90.0,15.5,59.5,12.5,20.0,40.0
Ratcatcher,65.0,1.0,6.0,5.0,10.0,20.0
Ravager IV,80.0,20.0,25.0,20.0,30.0,90.0
Raven,76.25,41.5,64.38,63.75,90.0,56.88
Ray,70.0,25.0,80.0,35.0,65.0,40.0
Ray Thompson,100.0,95.0,1.0,100.0,100.0,75.0
Red Arrow,62.5,3.0,10.0,10.0,17.5,85.0
Red Death,90.0,25.0,100.0,60.0,100.0,100.0
Red Hood,77.14,8.71,16.29,12.86,18.57,91.43
Red Lantern,77.5,100.0,100.0,100.0,100.0,75.83
Red Robin,85.0,3.0,15.0,9.0,15.0,85.0
Red Tool,65.0,10.0,17.0,15.0,20.0,90.0
Red Tornado,80.0,55.0,56.67,51.67,76.67,40.0
Red Torpedo,60.0,25.0,20.0,35.0,60.0,30.0
Red Volcano,70.0,30.0,20.0,35.0,65.0,30.0
Red X,80.0,10.0,20.0,20.0,15.0,95.0
Reign,80.0,100.0,95.0,65.0,80.0,80.0
Remiel,90.0,62.5,75.0,70.0,85.0,97.5
Renee Montoya,55.0,1.0,1.0,5.0,5.0,25.0
Replikon,0.0,0.0,0.0,0.0,100.0,0.0
Resurrection Man,95.0,75.0,75.0,100.0,97.5,97.5
Reverend Darrk,90.0,30.0,6.0,30.0,85.0,30.0
Reverse Flash,93.33,31.67,100.0,56.67,90.0,81.67
Reverse-Flash,70.0,25.0,100.0,60.0,100.0,75.0
Richard Dragon,75.0,25.0,17.0,15.0,20.0,100.0
Rick Flag,60.0,3.0,11.5,10.0,10.0,70.0
Riddler,80.0,5.0,7.33,6.0,10.83,17.33
Robin,73.57,8.5,12.71,10.21,12.86,83.21
Robin II,70.0,1.0,17.0,10.0,10.0,85.0
Robin III,65.0,25.0,30.0,13.0,20.0,100.0
Robin V,75.0,1.0,17.0,10.0,10.0,95.0
Rocket,60.0,1.0,20.0,30.0,50.0,40.0
Rogol Zaar,85.0,100.0,100.0,90.0,90.0,80.0
Rorschach,77.5,5.5,13.0,15.0,12.5,75.0
Rorschach II,65.0,6.0,7.0,10.0,10.0,65.0
Rory,65.0,25.0,50.0,15.0,60.0,65.0
S.T.R.I.P.E.,80.0,25.0,25.0,30.0,20.0,40.0
Saint Of Killers,60.0,25.0,17.0,50.0,60.0,30.0
Saint Walker,75.0,100.0,100.0,100.0,100.0,30.0
Sam Lane,70.0,5.0,5.0,5.0,5.0,60.0
Santa Claus,90.0,100.0,100.0,100.0,100.0,100.0
Saraqael,100.0,100.0,100.0,100.0,100.0,100.0
Sasha Woodman,85.0,5.0,10.0,10.0,25.0,15.0
Saturn Girl,80.0,13.0,25.0,30.0,70.0,45.0
Savage Fire,90.0,95.0,80.0,55.0,70.0,95.0
Savant,55.0,1.0,1.0,5.0,10.0,40.0
Savitar,80.0,35.0,100.0,55.0,100.0,70.0
Scarecrow,83.33,9.0,16.33,12.0,20.0,31.33
Scarlet,60.0,5.0,8.0,10.0,10.0,60.0
Scooby-mite,50.0,100.0,100.0,100.0,100.0,20.0
See-More,60.0,5.0,30.0,10.0,25.0,35.0
Senator Burke,60.0,1.0,5.0,5.0,5.0,25.0
Sergeant Preus,80.0,100.0,100.0,90.0,100.0,90.0
Seven Lantern,80.0,100.0,100.0,100.0,100.0,70.0
Shade,85.0,25.0,100.0,75.0,75.0,80.0
Shade The Changing Girl,60.0,75.0,100.0,85.0,100.0,30.0
Shadow Lass,70.0,10.0,25.0,15.0,50.0,40.0
Shakira,60.0,5.0,8.0,10.0,20.0,65.0
Shazam,70.0,92.5,77.5,70.0,80.0,48.75
Shazam Who Laughs,90.0,100.0,100.0,100.0,95.0,80.0
She-Bat,75.0,15.0,25.0,15.0,15.0,20.0
Shift,65.0,30.0,25.0,30.0,45.0,65.0
Shimmer,60.0,1.0,5.0,10.0,55.0,20.0
Silk Man,100.0,100.0,100.0,100.0,100.0,100.0
Silver Banshee,60.0,13.0,25.0,55.0,52.5,20.0
Sin Tzu,95.0,20.0,15.0,15.0,25.0,100.0
Sinestro,75.0,83.33,91.67,90.0,88.33,56.67
Singularity Jain,75.0,100.0,75.0,90.0,100.0,50.0
Sire of All Vampires,65.0,100.0,100.0,100.0,100.0,60.0
Slade,82.5,37.5,60.0,35.0,37.5,97.5
Sol Soria,55.0,1.0,1.0,5.0,5.0,40.0
Solaris,90.0,100.0,100.0,100.0,100.0,70.0
Solomon Grundy,35.0,35.0,13.33,51.67,53.33,30.0
Solstice,60.0,5.0,25.0,20.0,55.0,45.0
Spartan,62.5,3.0,6.0,10.0,10.0,60.0
Spectre,98.64,100.0,100.0,100.0,100.0,96.36
Spectre Oversoul,100.0,100.0,100.0,100.0,100.0,100.0
Speedy,65.0,3.0,11.5,10.0,17.5,80.0
Spoiler,80.0,1.0,17.0,5.0,15.0,80.0
Sportsmaster,60.0,5.0,8.0,10.0,10.0,70.0
Star Sapphire,70.0,73.33,88.33,83.33,83.33,55.0
Starbreaker,85.0,100.0,100.0,100.0,100.0,90.0
Starfire,60.83,54.17,57.5,45.83,67.5,58.33
Stargirl,62.5,27.5,65.0,30.0,60.0,67.5
Starheart Eclipso,100.0,100.0,100.0,100.0,100.0,80.0
Starman,65.0,1.0,25.0,25.0,70.0,19.0
Starro,72.5,72.5,30.5,40.0,62.5,30.0
Starro The Star Conqueror,85.0,100.0,100.0,100.0,90.0,45.0
Static,80.0,1.0,25.0,20.0,55.0,35.0
Steel,82.5,55.0,32.5,57.5,57.5,42.5
Steppenwolf,85.0,95.0,43.33,60.0,68.33,91.67
Steve Trevor,63.33,1.0,5.67,6.67,5.0,38.33
Stompa,60.0,75.0,20.0,55.0,60.0,100.0
Strange Visitor Superman,100.0,100.0,100.0,100.0,100.0,80.0
Streaky The Supercat,50.0,80.0,100.0,75.0,75.0,70.0
Sun-Eater,30.0,100.0,50.0,100.0,85.0,20.0
Super Woman,75.0,75.0,50.0,50.0,80.0,90.0
Super-Man,75.0,100.0,100.0,100.0,100.0,90.0
Super-Trigon,95.0,100.0,80.0,80.0,85.0,85.0
Superboy,68.33,80.0,71.67,60.83,77.5,51.67
Superboy-Prime,80.0,100.0,100.0,100.0,100.0,100.0
Superdoom,70.0,100.0,100.0,95.0,90.0,70.0
Supergirl,66.0,97.5,93.5,74.5,83.5,57.0
Superjudge,100.0,100.0,100.0,100.0,100.0,70.0
Superman,80.13,93.59,88.62,77.69,83.72,70.9
Superman Prime,85.0,100.0,100.0,100.0,100.0,87.5
Superman Robot,60.0,100.0,85.0,55.0,70.0,70.0
Superwoman,68.33,88.33,76.67,71.67,80.0,66.67
Swamp Thing,86.67,88.33,72.5,77.5,88.33,53.33
Sweet Tooth,45.0,1.0,1.0,1.0,5.0,0.0
Synnar,100.0,100.0,100.0,100.0,100.0,100.0
Syththunu,100.0,100.0,100.0,100.0,100.0,100.0
Takehiko Morningstar,90.0,100.0,100.0,100.0,100.0,60.0
Takion,100.0,100.0,100.0,100.0,100.0,60.0
Tala,0.0,0.0,0.0,0.0,0.0,0.0
Talia Al Ghul,82.5,13.0,18.5,11.5,15.0,72.5
Talon,80.0,13.0,20.0,15.0,25.0,100.0
Teekl,40.0,25.0,6.0,10.0,20.0,25.0
Tempest,70.0,25.0,20.0,25.0,65.0,40.0
Terra,55.0,1.0,8.0,12.5,55.0,52.5
Tesla Strong,75.0,25.0,11.0,10.0,20.0,70.0
Tess Mercer,95.0,5.0,5.0,10.0,15.0,75.0
The Anti-Life Entity,100.0,100.0,100.0,100.0,100.0,100.0
The Atom,70.0,80.0,80.0,70.0,100.0,80.0
The Batman Of Zur-En-Arrh,85.0,25.0,17.0,20.0,20.0,100.0
The Batman Who Laughs,95.0,25.0,25.0,30.0,70.0,100.0
The Being Whom Embody The Essence Of Story,100.0,100.0,100.0,100.0,100.0,100.0
The Butcher,100.0,100.0,100.0,100.0,100.0,100.0
The Comedian,67.5,10.0,15.5,14.0,10.0,77.5
The Cosmic Raptor,100.0,100.0,100.0,100.0,100.0,100.0
The Darkest Knight,100.0,100.0,100.0,100.0,100.0,100.0
The Drowned,80.0,25.0,25.0,30.0,35.0,90.0
The Eonymous,100.0,100.0,100.0,100.0,100.0,100.0
The Final Knight,80.0,75.0,85.0,85.0,90.0,80.0
The First Lantern,95.0,100.0,100.0,100.0,100.0,75.0
The Floronic Man,65.0,50.0,25.0,45.0,40.0,65.0
The God Of Superheroes,100.0,100.0,100.0,100.0,100.0,100.0
The Gray Ghost,65.0,5.0,6.0,10.0,30.0,40.0
The Great Darkness,100.0,100.0,100.0,100.0,100.0,100.0
The Hand,100.0,100.0,100.0,100.0,100.0,65.0
The Hand Of Creation,100.0,100.0,100.0,100.0,100.0,100.0
The Infinite Man,100.0,100.0,100.0,100.0,100.0,60.0
The Kollective,100.0,100.0,100.0,100.0,100.0,100.0
The Last Sun,90.0,100.0,100.0,100.0,100.0,80.0
The Leviathan Of Stories,100.0,100.0,100.0,100.0,100.0,100.0
The Mime,65.0,6.0,7.0,8.0,10.0,65.0
The Monitor,100.0,100.0,100.0,100.0,100.0,80.0
The Music Meister,90.0,1.0,19.0,10.0,30.0,10.0
The Oblivion Shadow,100.0,100.0,100.0,100.0,100.0,100.0
The Penguin,80.0,1.0,5.0,9.0,10.0,10.0
The Phantasm,70.0,1.0,5.0,10.0,10.0,75.0
The Presence,100.0,100.0,100.0,100.0,100.0,100.0
The Quantum Mechanics,100.0,100.0,100.0,100.0,100.0,100.0
The Question,65.0,1.0,11.0,8.0,10.0,65.0
The Ray,65.0,25.0,100.0,50.0,50.0,50.0
The Sandman,75.0,25.0,25.0,25.0,70.0,35.0
The Scarecrow,60.0,1.0,1.0,5.0,10.0,20.0
The Shattered God,100.0,100.0,100.0,100.0,100.0,30.0
The Source,100.0,100.0,100.0,100.0,100.0,100.0
The Spectre,100.0,100.0,100.0,100.0,100.0,90.0
The Top,60.0,0.0,80.0,0.0,80.0,0.0
The Trans,100.0,100.0,100.0,100.0,100.0,100.0
The Undoing,65.0,100.0,100.0,100.0,100.0,50.0
The Viper,55.0,1.0,6.0,7.0,35.0,18.0
The Voice,100.0,100.0,100.0,100.0,100.0,100.0
The Wizard,90.0,50.5,50.5,55.0,67.5,80.0
The Word,100.0,100.0,100.0,100.0,100.0,100.0
The Writer,100.0,100.0,100.0,100.0,100.0,100.0
Thinker,95.0,1.0,7.0,50.0,30.0,10.0
Thor,60.0,100.0,100.0,100.0,100.0,80.0
Thunder,70.0,25.0,25.0,30.0,55.0,80.0
Tig Rafelson,70.0,25.0,25.0,20.0,30.0,50.0
Tigress,60.0,1.0,14.0,10.0,12.0,70.0
Tim Hunter,85.0,100.0,100.0,100.0,100.0,70.0
Time Trapper,100.0,100.0,100.0,100.0,100.0,50.0
Tin,55.0,10.0,5.0,30.0,50.0,25.0
Tina Greer,65.0,30.0,10.0,15.0,40.0,40.0
Titan,55.0,90.0,25.0,55.0,70.0,75.0
Titano,35.0,95.0,25.0,65.0,50.0,20.0
Tobias Whale,85.0,25.0,25.0,15.0,20.0,100.0
Tom Strange,70.0,30.0,20.0,30.0,40.0,60.0
Tom Taylor,100.0,100.0,100.0,100.0,100.0,100.0
Tourne,80.0,25.0,40.0,30.0,35.0,95.0
Toyman,85.0,2.33,4.0,10.0,28.33,15.0
Tramm,80.0,35.0,30.0,25.0,25.0,45.0
Trickster II,80.0,1.0,6.0,10.0,20.0,10.0
Trident,70.0,40.0,35.0,30.0,35.0,70.0
Trigon,93.0,96.0,95.0,96.0,96.0,76.0
Trixie,45.0,1.0,1.0,1.0,0.0,15.0
Two-Face,60.0,7.0,12.25,8.75,8.75,39.75
Typhoon,75.0,0.0,75.0,0.0,100.0,0.0
Tyrell,90.0,100.0,95.0,90.0,85.0,80.0
Ultimator,100.0,100.0,100.0,100.0,100.0,100.0
Ultra Boy,60.0,85.0,75.0,65.0,70.0,45.0
Ultra Comics,100.0,100.0,100.0,100.0,100.0,100.0
Ultra-Humanite,90.0,28.33,23.67,23.67,37.67,31.0
Ultra-Monitor,100.0,100.0,100.0,100.0,100.0,100.0
Ultraman,75.0,100.0,90.0,82.5,95.0,67.5
Ultraviolet Lantern,70.0,100.0,100.0,100.0,100.0,80.0
Uncle Sam,70.0,62.5,55.0,60.0,80.0,60.0
Upside Down Man,100.0,100.0,100.0,100.0,100.0,80.0
Uriel,97.5,77.5,100.0,75.0,100.0,97.5
Ursa,65.0,87.5,90.0,80.0,75.0,70.0
Utu,100.0,100.0,100.0,100.0,100.0,100.0
Vala,70.0,100.0,100.0,75.0,80.0,50.0
Vandal Savage,86.67,11.67,8.33,25.0,36.67,83.33
Ventriloquist,67.5,1.0,18.0,8.5,8.0,3.5
Vibe,60.0,1.0,5.0,10.0,75.0,45.0
Vigilante,62.5,1.0,9.0,15.0,15.0,85.0
Vixen,65.0,25.0,25.0,20.0,50.0,70.0
Void,100.0,100.0,100.0,100.0,100.0,65.0
Wally The-god Boy,100.0,75.0,100.0,100.0,100.0,50.0
Warlord,65.0,10.0,5.0,15.0,25.0,85.0
Weasel,50.0,1.0,50.0,30.0,15.0,100.0
White Dragon,65.0,25.0,25.0,10.0,10.0,20.0
White Lantern,87.14,100.0,100.0,100.0,100.0,85.71
White Queen,90.0,1.0,1.0,8.0,30.0,25.0
White Raven,70.0,55.0,75.0,100.0,100.0,70.0
Whitney Fordman,50.0,5.0,5.0,8.0,5.0,30.0
Wildcat,60.0,10.0,9.0,10.5,13.0,85.0
Wildebeest,40.0,35.0,25.0,30.0,35.0,65.0
Wonder Girl,66.67,36.67,38.0,35.0,48.33,76.67
Wonder Wife,100.0,100.0,100.0,100.0,100.0,100.0
Wonder Woman,79.5,88.0,76.0,73.75,81.5,87.75
World Forger,100.0,100.0,100.0,100.0,100.0,80.0
Worldkiller-1,75.0,100.0,100.0,70.0,80.0,85.0
Wraith,85.0,100.0,100.0,100.0,100.0,55.0
Wrath,65.0,65.0,65.0,40.0,60.0,65.0
X-Tract,75.0,25.0,6.0,60.0,60.0,90.0
Xs,55.0,1.0,100.0,15.0,70.0,9.0
Yellow Lantern,80.0,100.0,100.0,100.0,100.0,82.5
Yorick Brown,55.0,1.0,6.0,10.0,0.0,15.0
Yuga Khan,95.0,100.0,100.0,100.0,100.0,90.0
Zade,85.0,75.0,75.0,70.0,80.0,70.0
Zadkiel,100.0,100.0,50.0,40.0,70.0,100.0
Zan,45.0,1.0,6.0,70.0,40.0,45.0
